Country,Continent,Metric,Years
Austria,Europe,Minimum Sentence [POSSESSION],
Belgium,Europe,Minimum Sentence [POSSESSION],
Denmark,Europe,Minimum Sentence [POSSESSION],
Estonia,Europe,Minimum Sentence [POSSESSION],
Finland,Europe,Minimum Sentence [POSSESSION],
France,Europe,Minimum Sentence [POSSESSION],
Germany,Europe,Minimum Sentence [POSSESSION],
Greece,Europe,Minimum Sentence [POSSESSION],
Italy,Europe,Minimum Sentence [POSSESSION],
Netherlands,Europe,Minimum Sentence [POSSESSION],
Norway,Europe,Minimum Sentence [POSSESSION],
Portugal,Europe,Minimum Sentence [POSSESSION],
Spain,Europe,Minimum Sentence [POSSESSION],
Sweden,Europe,Minimum Sentence [POSSESSION],
Switzerland,Europe,Minimum Sentence [POSSESSION],
United Kingdom,Europe,Minimum Sentence [POSSESSION],
Russian Federation,Europe,Minimum Sentence [POSSESSION],
New Zealand,Oceania,Minimum Sentence [POSSESSION],
Australia,Oceania,Minimum Sentence [POSSESSION],
Nigeria,Africa,Minimum Sentence [POSSESSION],
Peru,South America,Minimum Sentence [POSSESSION],
Colombia,South America,Minimum Sentence [POSSESSION],
Ecuador,South America,Minimum Sentence [POSSESSION],
Bolivia,South America,Minimum Sentence [POSSESSION],
Chile,South America,Minimum Sentence [POSSESSION],
Brazil,South America,Minimum Sentence [POSSESSION],
Mexico,North America,Minimum Sentence [POSSESSION],
USA,North America,Minimum Sentence [POSSESSION],
Canada,North America,Minimum Sentence [POSSESSION],
Austria,Europe,Maximum Sentence [POSSESSION],
Belgium,Europe,Maximum Sentence [POSSESSION],
Denmark,Europe,Maximum Sentence [POSSESSION],
Estonia,Europe,Maximum Sentence [POSSESSION],
Finland,Europe,Maximum Sentence [POSSESSION],
France,Europe,Maximum Sentence [POSSESSION],
Germany,Europe,Maximum Sentence [POSSESSION],
Greece,Europe,Maximum Sentence [POSSESSION],
Italy,Europe,Maximum Sentence [POSSESSION],
Netherlands,Europe,Maximum Sentence [POSSESSION],
Norway,Europe,Maximum Sentence [POSSESSION],
Portugal,Europe,Maximum Sentence [POSSESSION],
Spain,Europe,Maximum Sentence [POSSESSION],
Sweden,Europe,Maximum Sentence [POSSESSION],
Switzerland,Europe,Maximum Sentence [POSSESSION],
United Kingdom,Europe,Maximum Sentence [POSSESSION],
Russian Federation,Europe,Maximum Sentence [POSSESSION],
New Zealand,Oceania,Maximum Sentence [POSSESSION],
Australia,Oceania,Maximum Sentence [POSSESSION],
Nigeria,Africa,Maximum Sentence [POSSESSION],
Peru,South America,Maximum Sentence [POSSESSION],
Colombia,South America,Maximum Sentence [POSSESSION],
Ecuador,South America,Maximum Sentence [POSSESSION],
Bolivia,South America,Maximum Sentence [POSSESSION],
Chile,South America,Maximum Sentence [POSSESSION],
Brazil,South America,Maximum Sentence [POSSESSION],
Mexico,North America,Maximum Sentence [POSSESSION],
USA,North America,Maximum Sentence [POSSESSION],
Canada,North America,Maximum Sentence [POSSESSION],
Austria,Europe,Minimum Sentence [SUPPLY],1 year imprisonment (when 15x threshold)
Belgium,Europe,Minimum Sentence [SUPPLY], 3 months imprisonment
Denmark,Europe,Minimum Sentence [SUPPLY],Dismissal
Estonia,Europe,Minimum Sentence [SUPPLY],1 year or less
Finland,Europe,Minimum Sentence [SUPPLY],1 year or less
France,Europe,Minimum Sentence [SUPPLY],1 year or less
Germany,Europe,Minimum Sentence [SUPPLY],1 year or less
Greece,Europe,Minimum Sentence [SUPPLY],8 years
Italy,Europe,Minimum Sentence [SUPPLY],6 months
Netherlands,Europe,Minimum Sentence [SUPPLY],Fine
Norway,Europe,Minimum Sentence [SUPPLY],Fine (3 years for aggravated offences)
Portugal,Europe,Minimum Sentence [SUPPLY],1-4 years
Spain,Europe,Minimum Sentence [SUPPLY],"1 year or less (statutory minimum, 6 months)"
Sweden,Europe,Minimum Sentence [SUPPLY],Fine
Switzerland,Europe,Minimum Sentence [SUPPLY],"None (statutory minimum, 1 year)"
United Kingdom,Europe,Minimum Sentence [SUPPLY],
Russian Federation,Europe,Minimum Sentence [SUPPLY],
New Zealand,Oceania,Minimum Sentence [SUPPLY],
Australia,Oceania,Minimum Sentence [SUPPLY],
Nigeria,Africa,Minimum Sentence [SUPPLY],
Peru,South America,Minimum Sentence [SUPPLY],
Colombia,South America,Minimum Sentence [SUPPLY],
Ecuador,South America,Minimum Sentence [SUPPLY],
Bolivia,South America,Minimum Sentence [SUPPLY],
Chile,South America,Minimum Sentence [SUPPLY],
Brazil,South America,Minimum Sentence [SUPPLY],
Mexico,North America,Minimum Sentence [SUPPLY],
USA,North America,Minimum Sentence [SUPPLY],
Canada,North America,Minimum Sentence [SUPPLY],
Austria,Europe,Maximum Sentence  [SUPPLY],3 years to Life imprisonment
Belgium,Europe,Maximum Sentence  [SUPPLY],5 - 20 years imprisonment
Denmark,Europe,Maximum Sentence  [SUPPLY],2-16 years imprisonment
Estonia,Europe,Maximum Sentence  [SUPPLY],Life imprisonment
Finland,Europe,Maximum Sentence  [SUPPLY],10 years imprisonment
France,Europe,Maximum Sentence  [SUPPLY],5 years to life imprisonment
Germany,Europe,Maximum Sentence  [SUPPLY],5 to 15 years imprisonment
Greece,Europe,Maximum Sentence  [SUPPLY],Life imprisonment
Italy,Europe,Maximum Sentence  [SUPPLY],6 - 20 years imprisonment
Netherlands,Europe,Maximum Sentence  [SUPPLY],8 - 12 years imprisonment
Norway,Europe,Maximum Sentence  [SUPPLY],2 - 21 years imprisonment
Portugal,Europe,Maximum Sentence  [SUPPLY],20 years imprisonment
Spain,Europe,Maximum Sentence  [SUPPLY],3 - 12 years imprisonment
Sweden,Europe,Maximum Sentence  [SUPPLY],3 - 10 years imprisonment
Switzerland,Europe,Maximum Sentence  [SUPPLY],1 - 20 years imprisonment
United Kingdom,Europe,Maximum Sentence  [SUPPLY],Life imprisonment
Russian Federation,Europe,Maximum Sentence  [SUPPLY],
New Zealand,Oceania,Maximum Sentence  [SUPPLY],
Australia,Oceania,Maximum Sentence  [SUPPLY],
Nigeria,Africa,Maximum Sentence  [SUPPLY],
Peru,South America,Maximum Sentence  [SUPPLY],
Colombia,South America,Maximum Sentence  [SUPPLY],
Ecuador,South America,Maximum Sentence  [SUPPLY],
Bolivia,South America,Maximum Sentence  [SUPPLY],
Chile,South America,Maximum Sentence  [SUPPLY],
Brazil,South America,Maximum Sentence  [SUPPLY],
Mexico,North America,Maximum Sentence  [SUPPLY],
USA,North America,Maximum Sentence  [SUPPLY],
Canada,North America,Maximum Sentence  [SUPPLY],
